city,airport_name,code,country,region,slug,theme
City 1,City 1 International Airport,AAA,Country 1,North America,city-1-aaa,luxury city breaks
City 2,City 2 International Airport,AAB,Country 2,Europe,city-2-aab,business travel
City 3,City 3 International Airport,AAC,Country 3,Middle East,city-3-aac,premium long-haul demand
City 4,City 4 International Airport,AAD,Country 4,Asia Pacific,city-4-aad,honeymoon travel
City 5,City 5 International Airport,AAE,Country 5,Latin America,city-5-aae,executive itineraries
City 6,City 6 International Airport,AAF,Country 6,Africa,city-6-aaf,family premium travel
City 7,City 7 International Airport,AAG,Country 7,North America,city-7-aag,luxury city breaks
City 8,City 8 International Airport,AAH,Country 8,Europe,city-8-aah,business travel
City 9,City 9 International Airport,AAI,Country 9,Middle East,city-9-aai,premium long-haul demand
City 10,City 10 International Airport,AAJ,Country 10,Asia Pacific,city-10-aaj,honeymoon travel
City 11,City 11 International Airport,AAK,Country 11,Latin America,city-11-aak,executive itineraries
City 12,City 12 International Airport,AAL,Country 12,Africa,city-12-aal,family premium travel
City 13,City 13 International Airport,AAM,Country 13,North America,city-13-aam,luxury city breaks
City 14,City 14 International Airport,AAN,Country 14,Europe,city-14-aan,business travel
City 15,City 15 International Airport,AAO,Country 15,Middle East,city-15-aao,premium long-haul demand
City 16,City 16 International Airport,AAP,Country 16,Asia Pacific,city-16-aap,honeymoon travel
City 17,City 17 International Airport,AAQ,Country 17,Latin America,city-17-aaq,executive itineraries
City 18,City 18 International Airport,AAR,Country 18,Africa,city-18-aar,family premium travel
City 19,City 19 International Airport,AAS,Country 19,North America,city-19-aas,luxury city breaks
City 20,City 20 International Airport,AAT,Country 20,Europe,city-20-aat,business travel
City 21,City 21 International Airport,AAU,Country 21,Middle East,city-21-aau,premium long-haul demand
City 22,City 22 International Airport,AAV,Country 22,Asia Pacific,city-22-aav,honeymoon travel
City 23,City 23 International Airport,AAW,Country 23,Latin America,city-23-aaw,executive itineraries
City 24,City 24 International Airport,AAX,Country 24,Africa,city-24-aax,family premium travel
City 25,City 25 International Airport,AAY,Country 25,North America,city-25-aay,luxury city breaks
